"pangos","Freq","Hash","Lineage"
"AY.46.5",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.46.6",0.00370141887723627,"4c4d130660","NA.4c4d130660.X"
"AY.47",0.0197409006785935,"4c4d130660","NA.4c4d130660.X"
"AY.5",0.00555212831585441,"4c4d130660","NA.4c4d130660.X"
"AY.53",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.54",0.0117211597779149,"4c4d130660","NA.4c4d130660.X"
"AY.57",0.00863664404688464,"4c4d130660","NA.4c4d130660.X"
"AY.59",0.00370141887723627,"4c4d130660","NA.4c4d130660.X"
"AY.6",0.00987045033929673,"4c4d130660","NA.4c4d130660.X"
"AY.60",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.62",0.00123380629241209,"4c4d130660","NA.4c4d130660.X"
"AY.64",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.65",0.0067859346082665,"4c4d130660","NA.4c4d130660.X"
"AY.69",0.00123380629241209,"4c4d130660","NA.4c4d130660.X"
"AY.7",0.00123380629241209,"4c4d130660","NA.4c4d130660.X"
"AY.7.1",0.00431832202344232,"4c4d130660","NA.4c4d130660.X"
"AY.7.2",0.00185070943861814,"4c4d130660","NA.4c4d130660.X"
"AY.71",0.00123380629241209,"4c4d130660","NA.4c4d130660.X"
"AY.73",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.75",0.00185070943861814,"4c4d130660","NA.4c4d130660.X"
"AY.76",0.00431832202344232,"4c4d130660","NA.4c4d130660.X"
"AY.79",0.00616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.80",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.82",0.00370141887723627,"4c4d130660","NA.4c4d130660.X"
"AY.85",0.013571869216533,"4c4d130660","NA.4c4d130660.X"
"AY.9",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.9.2",0.0160394818013572,"4c4d130660","NA.4c4d130660.X"
"AY.91",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.91.1",0.00123380629241209,"4c4d130660","NA.4c4d130660.X"
"AY.92",0.000616903146206046,"4c4d130660","NA.4c4d130660.X"
"AY.98",0.00246761258482418,"4c4d130660","NA.4c4d130660.X"
"AY.98.1",0.0234423195558297,"4c4d130660","NA.4c4d130660.X"
"AY.99",0.00370141887723627,"4c4d130660","NA.4c4d130660.X"
"AY.99.1",0.00370141887723627,"4c4d130660","NA.4c4d130660.X"
"AY.99.2",0.053670573719926,"4c4d130660","NA.4c4d130660.X"
"B.1.617.2",0.117828500925355,"4c4d130660","NA.4c4d130660.X"
"B.1.617.1",1,"4fd272c553","B.1.617.1"
"B.1.258.3",1,"e3b3fc299b","B.1.258.3"
"B.1.2",1,"d28bb887b7","B.1.2"
"B.1",0.571428571428571,"654eafe861","B.1.X"
"B.1.2",0.428571428571429,"654eafe861","B.1.X"
"B.1.1.37",1,"94d0dc04ad","B.1.1.37"
"B.1.2",1,"ff687d98fc","B.1.2"
"B.1.623",1,"f8f63c7a1f","B.1.623"
"B.1",1,"740b9c2da8","B.1"
"B.1.258",0.5,"3e800d320a","B.1.258.X"
"B.1.258.17",0.5,"3e800d320a","B.1.258.X"
"C.36.3",1,"0d3a9c630e","C.36.3"
"B.1.1.519",1,"8941bfe0a5","B.1.1.519"
